lga_code,lga_name,2021_incr_det_ms,2021_incr_med_ms,2021_incr_high_ms,2022_incr_det_ms,2022_incr_med_ms,2022_incr_high_ms,2023_incr_det_ms,2023_incr_med_ms,2023_incr_high_ms,2024_incr_det_ms,2024_incr_med_ms,2024_incr_high_ms,2025_incr_det_ms,2025_incr_med_ms,2025_incr_high_ms,2026_incr_det_ms,2026_incr_med_ms,2026_incr_high_ms,2027_incr_det_ms,2027_incr_med_ms,2027_incr_high_ms,2028_incr_det_ms,2028_incr_med_ms,2028_incr_high_ms,2029_incr_det_ms,2029_incr_med_ms,2029_incr_high_ms,2030_incr_det_ms,2030_incr_med_ms,2030_incr_high_ms,2031_incr_det_ms,2031_incr_med_ms,2031_incr_high_ms,2032_incr_det_ms,2032_incr_med_ms,2032_incr_high_ms,2033_incr_det_ms,2033_incr_med_ms,2033_incr_high_ms,2034_incr_det_ms,2034_incr_med_ms,2034_incr_high_ms,2035_incr_det_ms,2035_incr_med_ms,2035_incr_high_ms
14500,Ku-ring-gai (A),176.0,38.0,3.0,176.0,38.0,3.0,176.0,38.0,3.0,176.0,38.0,3.0,176.0,38.0,3.0,213.0,46.0,4.0,213.0,46.0,4.0,213.0,46.0,4.0,213.0,46.0,4.0,213.0,46.0,4.0,220.0,47.0,4.0,220.0,47.0,4.0,220.0,47.0,4.0,220.0,47.0,4.0,220.0,47.0,4.0
14550,Kyogle (A),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14600,Lachlan (A),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14650,Lake Macquarie (C),487.0,184.0,2.0,487.0,184.0,2.0,487.0,184.0,2.0,487.0,184.0,2.0,487.0,184.0,2.0,536.0,202.0,2.0,536.0,202.0,2.0,536.0,202.0,2.0,536.0,202.0,2.0,536.0,202.0,2.0,542.0,205.0,2.0,542.0,205.0,2.0,542.0,205.0,2.0,542.0,205.0,2.0,542.0,205.0,2.0
14700,Lane Cove (A),38.0,10.0,9.0,38.0,10.0,9.0,38.0,10.0,9.0,38.0,10.0,9.0,38.0,10.0,9.0,16.0,4.0,4.0,16.0,4.0,4.0,16.0,4.0,4.0,16.0,4.0,4.0,16.0,4.0,4.0,16.0,4.0,4.0,16.0,4.0,4.0,16.0,4.0,4.0,16.0,4.0,4.0,16.0,4.0,4.0
14750,Leeton (A),15.0,6.0,0.0,15.0,6.0,0.0,15.0,6.0,0.0,15.0,6.0,0.0,15.0,6.0,0.0,8.0,3.0,0.0,8.0,3.0,0.0,8.0,3.0,0.0,8.0,3.0,0.0,8.0,3.0,0.0,6.0,2.0,0.0,6.0,2.0,0.0,6.0,2.0,0.0,6.0,2.0,0.0,6.0,2.0,0.0
14850,Lismore (C),4.0,1.0,0.0,4.0,1.0,0.0,4.0,1.0,0.0,4.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14870,Lithgow (C),28.0,8.0,0.0,28.0,8.0,0.0,28.0,8.0,0.0,28.0,8.0,0.0,28.0,8.0,0.0,20.0,6.0,0.0,20.0,6.0,0.0,20.0,6.0,0.0,20.0,6.0,0.0,20.0,6.0,0.0,11.0,4.0,0.0,11.0,4.0,0.0,11.0,4.0,0.0,11.0,4.0,0.0,11.0,4.0,0.0
14900,Liverpool (C),596.0,190.0,6.0,596.0,190.0,6.0,596.0,190.0,6.0,596.0,190.0,6.0,596.0,190.0,6.0,830.0,266.0,9.0,830.0,266.0,9.0,830.0,266.0,9.0,830.0,266.0,9.0,830.0,266.0,9.0,908.0,290.0,10.0,908.0,290.0,10.0,908.0,290.0,10.0,908.0,290.0,10.0,908.0,290.0,10.0
14920,Liverpool Plains (A),3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14950,Lockhart (A),13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0
